trade_id,date,symbol,session,regime,gravity,velocity,htf_bias,air_pocket,mae,mfe,result_r,notes
001,2026-06-18,US30,NY,3,85,78,1,72,8,65,2.5,Crime Scene #001 - ejemplo base
002,2026-06-16,US30,NY,1,0,84,1,53,26.0,210.0,,Crime Scene #002 - NY Open auto
003,2026-06-17,US30,NY,1,0,19,1,40,14.0,296.0,,Crime Scene #003 - NY Open auto
004,2026-06-18,US30,NY,1,0,50,0,36,273.0,100.0,,Crime Scene #004 - NY Open auto
005,2026-06-18,US30,NY,1,0,50,0,36,273.0,100.0,,Crime Scene #005 - NY Open auto
006,2026-06-22,US30,NY,1,33,8,-1,33,225.0,192.0,,Crime Scene #006 - NY Open auto
007,2026-06-18,US30,NY,1,0,50,0,36,273.0,100.0,,Crime Scene #007 - NY Open auto
008,2026-06-22,US30,NY,1,33,8,-1,33,225.0,192.0,,Crime Scene #008 - NY Open auto
009,2026-06-22,US30,NY,1,33,8,-1,33,225.0,192.0,,Crime Scene #009 - NY Open auto
010,2026-06-23,US30,NY,1,0,33,1,43,159.0,152.0,,Crime Scene #010 - NY Open auto
011,2026-06-22,US30,NY,1,33,8,-1,33,225.0,192.0,,Crime Scene #011 - NY Open auto
012,2026-06-23,US30,NY,1,0,33,1,55,159.0,354.0,,Crime Scene #012 - NY Open auto
013,2026-06-22,US30,NY,1,33,8,-1,33,225.0,192.0,,Crime Scene #013 - NY Open auto
014,2026-06-23,US30,NY,1,0,33,1,55,159.0,354.0,,Crime Scene #014 - NY Open auto
